,Indicator Name,Indicator Code,Topic description
1199,"Secondary education, teachers",SE.SEC.TCHR,Social: education
1200,"Secondary education, teachers (% female)",SE.SEC.TCHR.FE.ZS,Social: education
1201,"Secondary education, teachers, female",SE.SEC.TCHR.FE,Social: education
1202,"Secondary education, vocational pupils",SE.SEC.ENRL.VO,Social: education
1203,"Secondary education, vocational pupils (% female)",SE.SEC.ENRL.VO.FE.ZS,Social: education
1204,"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,"Balance of payments: exports, receipts (debit)"
1205,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,"Balance of payments: imports, payments (credit)"
1206,Secure Internet servers,IT.NET.SECR,Infrastructure: telecommunications
1207,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,Infrastructure: telecommunications
1208,"Self-employed, female (% of female employment) (modeled ILO estimate)",SL.EMP.SELF.FE.ZS,Social: labor
1209,"Self-employed, male (% of male employment) (modeled ILO estimate)",SL.EMP.SELF.MA.ZS,Social: labor
1210,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,Social: labor
1211,"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,"Balance of payments: exports, receipts (debit)"
1212,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,"Balance of payments: imports, payments (credit)"
1213,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,National accounts: value added
1214,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,National accounts: value added
1215,"Services, value added (constant 2015 US$)",NV.SRV.TOTL.KD,National accounts: value added
1216,"Services, value added (constant LCU)",NV.SRV.TOTL.KN,National accounts: value added
1217,"Services, value added (current LCU)",NV.SRV.TOTL.CN,National accounts: value added
1218,"Services, value added (current US$)",NV.SRV.TOTL.CD,National accounts: value added
1219,"Services, value added per worker (constant 2015 US$)",NV.SRV.EMPL.KD,National accounts: value added
1220,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Social: population
1221,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,Environment: general
1222,"Share of tariff lines with international peaks, all products (%)",TM.TAX.MRCH.IP.ZS,Trade: imports
1223,"Share of tariff lines with international peaks, manufactured products (%)",TM.TAX.MANF.IP.ZS,Trade: imports
1224,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,Trade: imports
1225,"Share of tariff lines with specific rates, all products (%)",TM.TAX.MRCH.SR.ZS,Trade: imports
1226,"Share of tariff lines with specific rates, manufactured products (%)",TM.TAX.MANF.SR.ZS,Trade: imports
1227,"Share of tariff lines with specific rates, primary products (%)",TM.TAX.TCOM.SR.ZS,Trade: imports
1228,"Share of youth not in education, employment or training, female (% of female youth population)",SL.UEM.NEET.FE.ZS,Social: labor
1229,"Share of youth not in education, employment or training, male (% of male youth population)",SL.UEM.NEET.MA.ZS,Social: labor
1230,"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Social: labor
1231,"Short-term debt (% of exports of goods, services and primary income)",DT.DOD.DSTC.XP.ZS,Debt: external
1232,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,Debt: external
1233,Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Debt: external
1234,Social contributions (% of revenue),GC.REV.SOCL.ZS,Government finance: IMF
1235,Social contributions (current LCU),GC.REV.SOCL.CN,Government finance: IMF
1236,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,Index quality assessment
1237,"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,Social: health
1238,Start-up procedures to register a business (number),IC.REG.PROC,Investment climate
1239,"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,Investment climate
1240,"Start-up procedures to register a business, male (number)",IC.REG.PROC.MA,Investment climate
1241,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,Index quality assessment
1242,Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,Index quality assessment
1243,Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),IQ.SPI.PIL1,Index quality assessment
1244,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100),IQ.SPI.PIL2,Index quality assessment
1245,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100),IQ.SPI.PIL3,Index quality assessment
1246,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100),IQ.SPI.PIL4,Index quality assessment
1247,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100),IQ.SPI.PIL5,Index quality assessment
1248,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Capital markets
1249,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Capital markets
1250,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Capital markets
1251,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Investment climate
1252,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,Government finance: IMF
1253,Subsidies and other transfers (current LCU),GC.XPN.TRFT.CN,Government finance: IMF
1254,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,Social: health
1255,"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Social: health
1256,"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,Social: health
1257,Surface area (sq. km),AG.SRF.TOTL.K2,Agriculture
1258,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",SI.SPR.PC40,Social: income
1259,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",SI.SPR.PCAP,Social: income
1260,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,Social: population
1261,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,Social: population
1262,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,Trade: imports
1263,"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS,Trade: imports
1264,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,Trade: imports
1265,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,Trade: imports
1266,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,Trade: imports
1267,"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,Trade: imports
1268,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,Trade: imports
1269,"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS,Trade: imports
1270,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,Trade: imports
1271,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,Trade: imports
1272,"Tariff rate, most favored nation, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.FN.ZS,Trade: imports
1273,"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Trade: imports
1274,Tax payments (number),IC.TAX.PAYM,Investment climate
1275,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Government finance: IMF
1276,Tax revenue (current LCU),GC.TAX.TOTL.CN,Government finance: IMF
1277,Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,National accounts: income
1278,Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,National accounts: income
1279,Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,National accounts: income
1280,Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Government finance: IMF
1281,Taxes on exports (current LCU),GC.TAX.EXPT.CN,Government finance: IMF
1282,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,Government finance: IMF
1283,Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,Government finance: IMF
1284,Taxes on goods and services (current LCU),GC.TAX.GSRV.CN,Government finance: IMF
1285,"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Government finance: IMF
1286,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Government finance: IMF
1287,"Taxes on income, profits and capital gains (current LCU)",GC.TAX.YPKG.CN,Government finance: IMF
1288,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,Government finance: IMF
1289,Taxes on international trade (current LCU),GC.TAX.INTT.CN,Government finance: IMF
1290,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,"Balance of payments: exports, receipts (debit)"
1291,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,Social: population
1292,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,Social: population
1293,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,National accounts: income
1294,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Environment: resources
1295,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Environment: resources
1296,"Tertiary education, academic staff (% female)",SE.TER.TCHR.FE.ZS,Social: education
1297,Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,National accounts: value added
1298,Time required to build a warehouse (days),IC.WRH.DURS,Investment climate
1299,Time required to enforce a contract (days),IC.LGL.DURS,Investment climate
1300,Time required to get electricity (days),IC.ELC.TIME,Investment climate
1301,Time required to obtain an operating license (days),IC.FRM.DURS,Investment climate
1302,Time required to register property (days),IC.PRP.DURS,Investment climate
1303,Time required to start a business (days),IC.REG.DURS,Investment climate
1304,"Time required to start a business, female (days)",IC.REG.DURS.FE,Investment climate
1305,"Time required to start a business, male (days)",IC.REG.DURS.MA,Investment climate
1306,Time spent dealing with the requirements of government regulations (% of senior management time),IC.GOV.DURS.ZS,Investment climate
1307,"Time to export, border compliance (hours)",IC.EXP.TMBC,Investment climate
1308,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,Investment climate
1309,"Time to import, border compliance (hours)",IC.IMP.TMBC,Investment climate
1310,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,Investment climate
1311,Time to obtain an electrical connection (days),IC.ELC.DURS,Investment climate
1312,Time to prepare and pay taxes (hours),IC.TAX.DURS,Investment climate
1313,Time to resolve insolvency (years),IC.ISV.DURS,Investment climate
1314,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Social: health
1315,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,Social: health
1316,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Social: health
1317,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Debt: external
1318,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,Debt: external
1319,Total fisheries production (metric tons),ER.FSH.PROD.MT,Environment: resources
1320,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,Environment: general
1321,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Environment: general
1322,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,National accounts: income
1323,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Financial: international liquidity
1324,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Financial: international liquidity
1325,Total reserves in months of imports,FI.RES.TOTL.MO,Financial: international liquidity
1326,Total reserves minus gold (current US$),FI.RES.XGLD.CD,Financial: international liquidity
1327,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,Investment climate
1328,Trade (% of GDP),NE.TRD.GNFS.ZS,National accounts: expenditure
1329,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,Balance of payments: gross
1330,"Trademark applications, direct nonresident",IP.TMK.NRES,Intellectual property
1331,"Trademark applications, direct resident",IP.TMK.RESD,Intellectual property
1332,"Trademark applications, nonresident, by count",IP.TMK.NRCT,Intellectual property
1333,"Trademark applications, resident, by count",IP.TMK.RSCT,Intellectual property
1334,"Trademark applications, total",IP.TMK.TOTL,Intellectual property
1335,Trained teachers in lower secondary education (% of total teachers),SE.SEC.TCAQ.LO.ZS,Social: education
1336,"Trained teachers in lower secondary education, female (% of female teachers)",SE.SEC.TCAQ.LO.FE.ZS,Social: education
1337,"Trained teachers in lower secondary education, male (% of male teachers)",SE.SEC.TCAQ.LO.MA.ZS,Social: education
1338,Trained teachers in preprimary education (% of total teachers),SE.PRE.TCAQ.ZS,Social: education
1339,"Trained teachers in preprimary education, female (% of female teachers)",SE.PRE.TCAQ.FE.ZS,Social: education
1340,"Trained teachers in preprimary education, male (% of male teachers)",SE.PRE.TCAQ.MA.ZS,Social: education
1341,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,Social: education
1342,"Trained teachers in primary education, female (% of female teachers)",SE.PRM.TCAQ.FE.ZS,Social: education
1343,"Trained teachers in primary education, male (% of male teachers)",SE.PRM.TCAQ.MA.ZS,Social: education
1344,Trained teachers in secondary education (% of total teachers),SE.SEC.TCAQ.ZS,Social: education
1345,"Trained teachers in secondary education, female (% of female teachers)",SE.SEC.TCAQ.FE.ZS,Social: education
1346,"Trained teachers in secondary education, male (% of male teachers)",SE.SEC.TCAQ.MA.ZS,Social: education
1347,Trained teachers in upper secondary education (% of total teachers),SE.SEC.TCAQ.UP.ZS,Social: education
1348,"Trained teachers in upper secondary education, female (% of female teachers)",SE.SEC.TCAQ.UP.FE.ZS,Social: education
1349,"Trained teachers in upper secondary education, male (% of male teachers)",SE.SEC.TCAQ.UP.MA.ZS,Social: education
1350,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,Trade: exports
1351,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,Trade: imports
1352,"Transport services (% of service exports, BoP)",BX.GSR.TRAN.ZS,"Balance of payments: exports, receipts (debit)"
1353,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,"Balance of payments: imports, payments (credit)"
1354,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,Trade: exports
1355,Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT,Trade: imports
1356,"Travel services (% of service exports, BoP)",BX.GSR.TRVL.ZS,"Balance of payments: exports, receipts (debit)"
1357,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,"Balance of payments: imports, payments (credit)"
1358,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,Social: health
1359,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,Social: health
1360,UHC service coverage index,SH.UHC.SRVS.CV.XD,Social: health
1361,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Social: labor
1362,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,Social: labor
1363,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,Social: labor
1364,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,Social: labor
1365,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,Social: labor
1366,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,Social: labor
1367,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,Social: labor
1368,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,Social: labor
1369,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,Social: labor
1370,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Social: labor
1371,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,Social: labor
1372,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Social: labor
1373,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Social: labor
1374,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Social: labor
1375,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Social: labor
1376,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Social: labor
1377,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Social: labor
1378,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Social: labor
1379,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Social: labor
1380,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Social: labor
1381,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Social: labor
1382,Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,Social: population
1383,Urban land area (sq. km),AG.LND.TOTL.UR.K2,Agriculture
1384,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,Agriculture
1385,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,Agriculture
1386,Urban population,SP.URB.TOTL,Social: population
1387,Urban population (% of total population),SP.URB.TOTL.IN.ZS,Social: population
1388,Urban population growth (annual %),SP.URB.GROW,Social: population
1389,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,Environment: general
1390,"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Debt: external
1391,Use of insecticide-treated bed nets (% of under-5 population),SH.MLR.NETS.ZS,Social: health
1392,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,Investment climate
1393,Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Social: nutrition
1394,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,Social: labor
1395,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,Social: labor
1396,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,Social: labor
1397,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,Social: labor
1398,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,Social: labor
1399,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Social: labor
1400,Wanted fertility rate (births per woman),SP.DYN.WFRT,Social: population
1401,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,Environment: resources
1402,Wholesale price index (2010 = 100),FP.WPI.TOTL,Financial: prices
1403,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Social: gender
1404,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",SG.DMK.SRCR.FN.ZS,Social: gender
1405,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",SG.DMK.ALLD.FN.ZS,Social: gender
1406,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,Social: gender
1407,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,Social: gender
1408,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,Social: gender
1409,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,Social: gender
1410,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,Social: gender
1411,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,Social: gender
1412,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,Social: population
1413,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,Social: population
1414,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,Social: health
1415,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,Social: health
